profileName,beerName_1,beerId_1,beerABV_1,beerStyle_1,reviewText_1,appearanceRate_1,aromaRate_1,palateRate_1,tasteRate_1,beerName_2,beerId_2,beerABV_2,beerStyle_2,reviewText_2,appearanceRate_2,aromaRate_2,palateRate_2,tasteRate_2,appearance,aroma,palate,taste
49degrees,Arrogant Bastard Ale,92,2025-02-07 00:00:00,American Strong Ale,"An exceptional dark amber ale fully of character and a striking amount of hops. ""This is an aggressive"" beer says the label, and I'll vouch that it doesn't lie. I had this beer on tap several weeks back and really enjoyed it but found that it was surprinsingly close to Mac & Jacks African Amber Ale. Being able to sit back and relax with a bottle in hand and the time and place to actually take some better notes to review it, I'm guessing my notes were wrong, or I was poured the wrong beer. (As such, I've resubmitted my review for this beer). From the bottle, Arrogant Bastard doesn't look, smell or taste like Mac & Jacks, it's far superior. AB pours a deep reddish hue with a big white rocky head. Glass lacing is extensive. Aroma wise, this one carries a very enjoyable hoppy kick, hints of fruit, and complex malts. It doesn't carry the pine hit that the Ruination IPA offers, which helps to make this a much more rounded ale which can be savored in more than one serving per sitting. On the palette, the hops and malts are creatively balanced, providing hints of fruit, toasted malts and a slight peppery smokiness to it. Despite its edgy hoppiness, the malt factor kicks in to really make this an exceptionally well rounded ale that can be enjoyed again and again. Great balance worth a closer look for those who have yet to venture into the grip of the Arrogant Bastard. (ADDENDUM: 12/27/02 I had the opportunity to visit a place called Fogg & Suds on the outskirts of Vancouver, BC the other day, and to my astonishment this place is ""trying"" to fetch $30.00cdn for a bottle of this stuff. Buyer beware. Arrogant Bastard is great stuff, but it should be obtainable for less than 1/3 the price being asked for here.) &lt;sigh&gt;",4.5,4.5,4.5,4.5,Hennepin (Farmhouse Saison),141,2025-07-07 00:00:00,Saison / Farmhouse Ale,"An excellent Belgian styled ale. Pours a medium golden hue complete with very small, champagne like bubbles, and a tight foamy head. Reminscent of the strong belgian beers likes Chimay White or fellow North American brew, the Unibroue Eau Benite. Incredbly smooth tasting considering its crisp, hoppy characteristics, all of which make this a great choice for those lazy afternoons.",4.0,4.5,4.5,4.5,1.0,,,-1.0
49degrees,La Terrible,3635,2025-05-10 00:00:00,Belgian Strong Dark Ale,"A stunning beer in the same tradition of Chimay's Grand Reserve (blue cap), it offers everything that the Belgian classic has with just a darker tone and a more affordable price. BC-LDB currently stocks this at $7.95cdn per 750ml bottle -- and this one is honestly worth every penny. Having tasted my fair share of Belgian styled brews over the past several years, Chimay's Grand Reserve was and will still remain my current all time favorite, but Unibroue's latest ""Terrible"" (an Abbey Style) dark brown ale pegged at 10.5% abv is an extremely strong contender that deserves a close look by fellow Belgian styled enthusiasts. New to market, or at least to my eyes, ""Terrible"" is the easy front runner on the Unibroue product schedule suprassing fellow label mates ""Don de Dieu"" and ""La Maudite."" ""Terrible"" is another exceptional offering from Unibroue that is very drinkable and a great brew to relax with. It's a multi-purpose beer that works well as an afternoon sipping drink, a hearty addition to a meal, or as a replacement to coffee after a meal with friends or family.",4.5,4.5,4.5,5.0,Propeller Extra Special Bitter (ESB),5125,5,Extra Special / Strong Bitter (ESB),"What else can be said about ""Propeller Extra Special Bitter"" that VENOM didn't already say in his review. Pretty much spot on. A rich, full-bodied brew from the East Coast of Canada that does an excellent job blending a traditionally strong, hoppy taste with a very flavourful and malty complexity, which sports a very pleasing aftertaste. I've grown quite fond of traditional English style bitters in recent years and while this one doesn't hail from England, it does follow on the heels of some of the UKs most recognized labels. Nice full colour, surprisingly long lasting head, which coats the glass for long lengths of time. (I'm just finishing off my bottle now after about 45-60 minutes and the sides of my glass remain heavily coated.) A great bitter beer that I've returned to on more than one occasion. (Best before date: December 6, 2002) hmmmm its December 23 and it still tastes great.",4.5,4.0,4.0,4.0,,,,
49degrees,La Terrible,3635,2025-05-10 00:00:00,Belgian Strong Dark Ale,"A stunning beer in the same tradition of Chimay's Grand Reserve (blue cap), it offers everything that the Belgian classic has with just a darker tone and a more affordable price. BC-LDB currently stocks this at $7.95cdn per 750ml bottle -- and this one is honestly worth every penny. Having tasted my fair share of Belgian styled brews over the past several years, Chimay's Grand Reserve was and will still remain my current all time favorite, but Unibroue's latest ""Terrible"" (an Abbey Style) dark brown ale pegged at 10.5% abv is an extremely strong contender that deserves a close look by fellow Belgian styled enthusiasts. New to market, or at least to my eyes, ""Terrible"" is the easy front runner on the Unibroue product schedule suprassing fellow label mates ""Don de Dieu"" and ""La Maudite."" ""Terrible"" is another exceptional offering from Unibroue that is very drinkable and a great brew to relax with. It's a multi-purpose beer that works well as an afternoon sipping drink, a hearty addition to a meal, or as a replacement to coffee after a meal with friends or family.",4.5,4.5,4.5,5.0,Hennepin (Farmhouse Saison),141,2025-07-07 00:00:00,Saison / Farmhouse Ale,"An excellent Belgian styled ale. Pours a medium golden hue complete with very small, champagne like bubbles, and a tight foamy head. Reminscent of the strong belgian beers likes Chimay White or fellow North American brew, the Unibroue Eau Benite. Incredbly smooth tasting considering its crisp, hoppy characteristics, all of which make this a great choice for those lazy afternoons.",4.0,4.5,4.5,4.5,,,,
49degrees,La Terrible,3635,2025-05-10 00:00:00,Belgian Strong Dark Ale,"A stunning beer in the same tradition of Chimay's Grand Reserve (blue cap), it offers everything that the Belgian classic has with just a darker tone and a more affordable price. BC-LDB currently stocks this at $7.95cdn per 750ml bottle -- and this one is honestly worth every penny. Having tasted my fair share of Belgian styled brews over the past several years, Chimay's Grand Reserve was and will still remain my current all time favorite, but Unibroue's latest ""Terrible"" (an Abbey Style) dark brown ale pegged at 10.5% abv is an extremely strong contender that deserves a close look by fellow Belgian styled enthusiasts. New to market, or at least to my eyes, ""Terrible"" is the easy front runner on the Unibroue product schedule suprassing fellow label mates ""Don de Dieu"" and ""La Maudite."" ""Terrible"" is another exceptional offering from Unibroue that is very drinkable and a great brew to relax with. It's a multi-purpose beer that works well as an afternoon sipping drink, a hearty addition to a meal, or as a replacement to coffee after a meal with friends or family.",4.5,4.5,4.5,5.0,Arrogant Bastard Ale,92,2025-02-07 00:00:00,American Strong Ale,"An exceptional dark amber ale fully of character and a striking amount of hops. ""This is an aggressive"" beer says the label, and I'll vouch that it doesn't lie. I had this beer on tap several weeks back and really enjoyed it but found that it was surprinsingly close to Mac & Jacks African Amber Ale. Being able to sit back and relax with a bottle in hand and the time and place to actually take some better notes to review it, I'm guessing my notes were wrong, or I was poured the wrong beer. (As such, I've resubmitted my review for this beer). From the bottle, Arrogant Bastard doesn't look, smell or taste like Mac & Jacks, it's far superior. AB pours a deep reddish hue with a big white rocky head. Glass lacing is extensive. Aroma wise, this one carries a very enjoyable hoppy kick, hints of fruit, and complex malts. It doesn't carry the pine hit that the Ruination IPA offers, which helps to make this a much more rounded ale which can be savored in more than one serving per sitting. On the palette, the hops and malts are creatively balanced, providing hints of fruit, toasted malts and a slight peppery smokiness to it. Despite its edgy hoppiness, the malt factor kicks in to really make this an exceptionally well rounded ale that can be enjoyed again and again. Great balance worth a closer look for those who have yet to venture into the grip of the Arrogant Bastard. (ADDENDUM: 12/27/02 I had the opportunity to visit a place called Fogg & Suds on the outskirts of Vancouver, BC the other day, and to my astonishment this place is ""trying"" to fetch $30.00cdn for a bottle of this stuff. Buyer beware. Arrogant Bastard is great stuff, but it should be obtainable for less than 1/3 the price being asked for here.) &lt;sigh&gt;",4.5,4.5,4.5,4.5,,,,
49degrees,La Terrible,3635,2025-05-10 00:00:00,Belgian Strong Dark Ale,"A stunning beer in the same tradition of Chimay's Grand Reserve (blue cap), it offers everything that the Belgian classic has with just a darker tone and a more affordable price. BC-LDB currently stocks this at $7.95cdn per 750ml bottle -- and this one is honestly worth every penny. Having tasted my fair share of Belgian styled brews over the past several years, Chimay's Grand Reserve was and will still remain my current all time favorite, but Unibroue's latest ""Terrible"" (an Abbey Style) dark brown ale pegged at 10.5% abv is an extremely strong contender that deserves a close look by fellow Belgian styled enthusiasts. New to market, or at least to my eyes, ""Terrible"" is the easy front runner on the Unibroue product schedule suprassing fellow label mates ""Don de Dieu"" and ""La Maudite."" ""Terrible"" is another exceptional offering from Unibroue that is very drinkable and a great brew to relax with. It's a multi-purpose beer that works well as an afternoon sipping drink, a hearty addition to a meal, or as a replacement to coffee after a meal with friends or family.",4.5,4.5,4.5,5.0,Eau Benite,32,2025-07-07 00:00:00,Tripel,"A very enjoyable Belgian styled ale in the strength of a triple. Among the more enjoyable non-Belgian brewed triple styled ales available, but pales in comparison to Unibroue's own ""La Fin du Monde."" Pours clean with a bright golden hue colour and a might head that gives way quickly to a thin broken head. Aroma is very enjoyable with hints of fruit such as pear, orange and apple must, but not enough to confuse it with the ""Ephemere"" (also by Unibroue). Although it has warming characteristics, its 7.7%abv is lower than that of many ""triples"" but that alcohol content can sneak up on ya when not looking. Its a very drinkable ale that went well with a series of pre-Xmas dinner appetizers.",4.5,4.0,4.5,4.0,,,,
49degrees,Hennepin (Farmhouse Saison),141,2025-07-07 00:00:00,Saison / Farmhouse Ale,"An excellent Belgian styled ale. Pours a medium golden hue complete with very small, champagne like bubbles, and a tight foamy head. Reminscent of the strong belgian beers likes Chimay White or fellow North American brew, the Unibroue Eau Benite. Incredbly smooth tasting considering its crisp, hoppy characteristics, all of which make this a great choice for those lazy afternoons.",4.0,4.5,4.5,4.5,Eau Benite,32,2025-07-07 00:00:00,Tripel,"A very enjoyable Belgian styled ale in the strength of a triple. Among the more enjoyable non-Belgian brewed triple styled ales available, but pales in comparison to Unibroue's own ""La Fin du Monde."" Pours clean with a bright golden hue colour and a might head that gives way quickly to a thin broken head. Aroma is very enjoyable with hints of fruit such as pear, orange and apple must, but not enough to confuse it with the ""Ephemere"" (also by Unibroue). Although it has warming characteristics, its 7.7%abv is lower than that of many ""triples"" but that alcohol content can sneak up on ya when not looking. Its a very drinkable ale that went well with a series of pre-Xmas dinner appetizers.",4.5,4.0,4.5,4.0,1.0,,,
49degrees,Arrogant Bastard Ale,92,2025-02-07 00:00:00,American Strong Ale,"An exceptional dark amber ale fully of character and a striking amount of hops. ""This is an aggressive"" beer says the label, and I'll vouch that it doesn't lie. I had this beer on tap several weeks back and really enjoyed it but found that it was surprinsingly close to Mac & Jacks African Amber Ale. Being able to sit back and relax with a bottle in hand and the time and place to actually take some better notes to review it, I'm guessing my notes were wrong, or I was poured the wrong beer. (As such, I've resubmitted my review for this beer). From the bottle, Arrogant Bastard doesn't look, smell or taste like Mac & Jacks, it's far superior. AB pours a deep reddish hue with a big white rocky head. Glass lacing is extensive. Aroma wise, this one carries a very enjoyable hoppy kick, hints of fruit, and complex malts. It doesn't carry the pine hit that the Ruination IPA offers, which helps to make this a much more rounded ale which can be savored in more than one serving per sitting. On the palette, the hops and malts are creatively balanced, providing hints of fruit, toasted malts and a slight peppery smokiness to it. Despite its edgy hoppiness, the malt factor kicks in to really make this an exceptionally well rounded ale that can be enjoyed again and again. Great balance worth a closer look for those who have yet to venture into the grip of the Arrogant Bastard. (ADDENDUM: 12/27/02 I had the opportunity to visit a place called Fogg & Suds on the outskirts of Vancouver, BC the other day, and to my astonishment this place is ""trying"" to fetch $30.00cdn for a bottle of this stuff. Buyer beware. Arrogant Bastard is great stuff, but it should be obtainable for less than 1/3 the price being asked for here.) &lt;sigh&gt;",4.5,4.5,4.5,4.5,Propeller Extra Special Bitter (ESB),5125,5,Extra Special / Strong Bitter (ESB),"What else can be said about ""Propeller Extra Special Bitter"" that VENOM didn't already say in his review. Pretty much spot on. A rich, full-bodied brew from the East Coast of Canada that does an excellent job blending a traditionally strong, hoppy taste with a very flavourful and malty complexity, which sports a very pleasing aftertaste. I've grown quite fond of traditional English style bitters in recent years and while this one doesn't hail from England, it does follow on the heels of some of the UKs most recognized labels. Nice full colour, surprisingly long lasting head, which coats the glass for long lengths of time. (I'm just finishing off my bottle now after about 45-60 minutes and the sides of my glass remain heavily coated.) A great bitter beer that I've returned to on more than one occasion. (Best before date: December 6, 2002) hmmmm its December 23 and it still tastes great.",4.5,4.0,4.0,4.0,1.0,,,-1.0
49degrees,Arrogant Bastard Ale,92,2025-02-07 00:00:00,American Strong Ale,"An exceptional dark amber ale fully of character and a striking amount of hops. ""This is an aggressive"" beer says the label, and I'll vouch that it doesn't lie. I had this beer on tap several weeks back and really enjoyed it but found that it was surprinsingly close to Mac & Jacks African Amber Ale. Being able to sit back and relax with a bottle in hand and the time and place to actually take some better notes to review it, I'm guessing my notes were wrong, or I was poured the wrong beer. (As such, I've resubmitted my review for this beer). From the bottle, Arrogant Bastard doesn't look, smell or taste like Mac & Jacks, it's far superior. AB pours a deep reddish hue with a big white rocky head. Glass lacing is extensive. Aroma wise, this one carries a very enjoyable hoppy kick, hints of fruit, and complex malts. It doesn't carry the pine hit that the Ruination IPA offers, which helps to make this a much more rounded ale which can be savored in more than one serving per sitting. On the palette, the hops and malts are creatively balanced, providing hints of fruit, toasted malts and a slight peppery smokiness to it. Despite its edgy hoppiness, the malt factor kicks in to really make this an exceptionally well rounded ale that can be enjoyed again and again. Great balance worth a closer look for those who have yet to venture into the grip of the Arrogant Bastard. (ADDENDUM: 12/27/02 I had the opportunity to visit a place called Fogg & Suds on the outskirts of Vancouver, BC the other day, and to my astonishment this place is ""trying"" to fetch $30.00cdn for a bottle of this stuff. Buyer beware. Arrogant Bastard is great stuff, but it should be obtainable for less than 1/3 the price being asked for here.) &lt;sigh&gt;",4.5,4.5,4.5,4.5,Eau Benite,32,2025-07-07 00:00:00,Tripel,"A very enjoyable Belgian styled ale in the strength of a triple. Among the more enjoyable non-Belgian brewed triple styled ales available, but pales in comparison to Unibroue's own ""La Fin du Monde."" Pours clean with a bright golden hue colour and a might head that gives way quickly to a thin broken head. Aroma is very enjoyable with hints of fruit such as pear, orange and apple must, but not enough to confuse it with the ""Ephemere"" (also by Unibroue). Although it has warming characteristics, its 7.7%abv is lower than that of many ""triples"" but that alcohol content can sneak up on ya when not looking. Its a very drinkable ale that went well with a series of pre-Xmas dinner appetizers.",4.5,4.0,4.5,4.0,1.0,0.0,,
49degrees,Propeller Extra Special Bitter (ESB),5125,5,Extra Special / Strong Bitter (ESB),"What else can be said about ""Propeller Extra Special Bitter"" that VENOM didn't already say in his review. Pretty much spot on. A rich, full-bodied brew from the East Coast of Canada that does an excellent job blending a traditionally strong, hoppy taste with a very flavourful and malty complexity, which sports a very pleasing aftertaste. I've grown quite fond of traditional English style bitters in recent years and while this one doesn't hail from England, it does follow on the heels of some of the UKs most recognized labels. Nice full colour, surprisingly long lasting head, which coats the glass for long lengths of time. (I'm just finishing off my bottle now after about 45-60 minutes and the sides of my glass remain heavily coated.) A great bitter beer that I've returned to on more than one occasion. (Best before date: December 6, 2002) hmmmm its December 23 and it still tastes great.",4.5,4.0,4.0,4.0,Hennepin (Farmhouse Saison),141,2025-07-07 00:00:00,Saison / Farmhouse Ale,"An excellent Belgian styled ale. Pours a medium golden hue complete with very small, champagne like bubbles, and a tight foamy head. Reminscent of the strong belgian beers likes Chimay White or fellow North American brew, the Unibroue Eau Benite. Incredbly smooth tasting considering its crisp, hoppy characteristics, all of which make this a great choice for those lazy afternoons.",4.0,4.5,4.5,4.5,1.0,,,0.0
49degrees,Propeller Extra Special Bitter (ESB),5125,5,Extra Special / Strong Bitter (ESB),"What else can be said about ""Propeller Extra Special Bitter"" that VENOM didn't already say in his review. Pretty much spot on. A rich, full-bodied brew from the East Coast of Canada that does an excellent job blending a traditionally strong, hoppy taste with a very flavourful and malty complexity, which sports a very pleasing aftertaste. I've grown quite fond of traditional English style bitters in recent years and while this one doesn't hail from England, it does follow on the heels of some of the UKs most recognized labels. Nice full colour, surprisingly long lasting head, which coats the glass for long lengths of time. (I'm just finishing off my bottle now after about 45-60 minutes and the sides of my glass remain heavily coated.) A great bitter beer that I've returned to on more than one occasion. (Best before date: December 6, 2002) hmmmm its December 23 and it still tastes great.",4.5,4.0,4.0,4.0,Eau Benite,32,2025-07-07 00:00:00,Tripel,"A very enjoyable Belgian styled ale in the strength of a triple. Among the more enjoyable non-Belgian brewed triple styled ales available, but pales in comparison to Unibroue's own ""La Fin du Monde."" Pours clean with a bright golden hue colour and a might head that gives way quickly to a thin broken head. Aroma is very enjoyable with hints of fruit such as pear, orange and apple must, but not enough to confuse it with the ""Ephemere"" (also by Unibroue). Although it has warming characteristics, its 7.7%abv is lower than that of many ""triples"" but that alcohol content can sneak up on ya when not looking. Its a very drinkable ale that went well with a series of pre-Xmas dinner appetizers.",4.5,4.0,4.5,4.0,1.0,,,
