profileName,beerId,beerName,beerABV,beerStyle,reviewSentence,appearanceRate,aromaRate,palateRate,tasteRate,appearance,aroma,palate,taste
49degrees,32,Eau Benite,,Tripel,a very enjoyable belgian styled ale in the strength of a triple,4.5,4.0,4.5,4.0,0,0.0,0,0
49degrees,32,Eau Benite,,Tripel,among the more enjoyable nonbelgian brewed triple styled ales available but pales in comparison to unibroues own la fin du monde,4.5,4.0,4.5,4.0,0,0.0,0,0
49degrees,32,Eau Benite,,Tripel,pours clean with a bright golden hue colour and a might head that gives way quickly to a thin broken head,4.5,4.0,4.5,4.0,1,0.0,0,0
49degrees,32,Eau Benite,,Tripel,aroma is very enjoyable with hints of fruit such as pear orange and apple must but not enough to confuse it with the ephemere also by unibroue,4.5,4.0,4.5,4.0,0,1.0,0,0
49degrees,32,Eau Benite,,Tripel,although it has warming characteristics its 7,4.5,4.0,4.5,4.0,0,0.0,0,0
49degrees,32,Eau Benite,,Tripel,7abv is lower than that of many triples but that alcohol content can sneak up on ya when not looking,4.5,4.0,4.5,4.0,0,0.0,0,0
49degrees,32,Eau Benite,,Tripel,its a very drinkable ale that went well with a series of prexmas dinner appetizers,4.5,4.0,4.5,4.0,0,0.0,0,0
49degrees,92,Arrogant Bastard Ale,,American Strong Ale,an exceptional dark amber ale fully of character and a striking amount of hops,4.5,4.5,4.5,4.5,1,1.0,0,1
49degrees,92,Arrogant Bastard Ale,,American Strong Ale,this is an aggressive beer says the label and ill vouch that it doesnt lie,4.5,4.5,4.5,4.5,0,0.0,0,0
49degrees,92,Arrogant Bastard Ale,,American Strong Ale,i had this beer on tap several weeks back and really enjoyed it but found that it was surprinsingly close to mac jacks african amber ale,4.5,4.5,4.5,4.5,0,0.0,0,0
49degrees,92,Arrogant Bastard Ale,,American Strong Ale,being able to sit back and relax with a bottle in hand and the time and place to actually take some better notes to review it im guessing my notes were wrong or i was poured the wrong beer,4.5,4.5,4.5,4.5,0,0.0,0,0
49degrees,92,Arrogant Bastard Ale,,American Strong Ale,as such ive resubmitted my review for this beer,4.5,4.5,4.5,4.5,0,0.0,0,0
49degrees,92,Arrogant Bastard Ale,,American Strong Ale,from the bottle arrogant bastard doesnt look smell or taste like mac jacks its far superior,4.5,4.5,4.5,4.5,0,0.0,0,0
49degrees,92,Arrogant Bastard Ale,,American Strong Ale,ab pours a deep reddish hue with a big white rocky head,4.5,4.5,4.5,4.5,1,0.0,0,0
49degrees,92,Arrogant Bastard Ale,,American Strong Ale,glass lacing is extensive,4.5,4.5,4.5,4.5,1,0.0,0,0
49degrees,92,Arrogant Bastard Ale,,American Strong Ale,aroma wise this one carries a very enjoyable hoppy kick hints of fruit and complex malts,4.5,4.5,4.5,4.5,0,1.0,0,0
49degrees,92,Arrogant Bastard Ale,,American Strong Ale,it doesnt carry the pine hit that the ruination ipa offers which helps to make this a much more rounded ale which can be savored in more than one serving per sitting,4.5,4.5,4.5,4.5,0,0.0,0,0
49degrees,92,Arrogant Bastard Ale,,American Strong Ale,on the palette the hops and malts are creatively balanced providing hints of fruit toasted malts and a slight peppery smokiness to it,4.5,4.5,4.5,4.5,0,0.0,0,1
49degrees,92,Arrogant Bastard Ale,,American Strong Ale,despite its edgy hoppiness the malt factor kicks in to really make this an exceptionally well rounded ale that can be enjoyed again and again,4.5,4.5,4.5,4.5,0,0.0,1,1
49degrees,92,Arrogant Bastard Ale,,American Strong Ale,great balance worth a closer look for those who have yet to venture into the grip of the arrogant bastard,4.5,4.5,4.5,4.5,0,0.0,0,0
49degrees,92,Arrogant Bastard Ale,,American Strong Ale,addendum 122702 i had the opportunity to visit a place called fogg suds on the outskirts of vancouver bc the other day and to my astonishment this place is trying to fetch 30,4.5,4.5,4.5,4.5,0,0.0,0,0
49degrees,92,Arrogant Bastard Ale,,American Strong Ale,00cdn for a bottle of this stuff,4.5,4.5,4.5,4.5,0,0.0,0,0
49degrees,92,Arrogant Bastard Ale,,American Strong Ale,buyer beware,4.5,4.5,4.5,4.5,0,0.0,0,0
49degrees,92,Arrogant Bastard Ale,,American Strong Ale,arrogant bastard is great stuff but it should be obtainable for less than 13 the price being asked for here,4.5,4.5,4.5,4.5,0,0.0,0,0
49degrees,92,Arrogant Bastard Ale,,American Strong Ale,ltsighgt,4.5,4.5,4.5,4.5,0,0.0,0,0
49degrees,141,Hennepin (Farmhouse Saison),,Saison / Farmhouse Ale,an excellent belgian styled ale,4.0,4.5,4.5,4.5,0,0.0,0,0
49degrees,141,Hennepin (Farmhouse Saison),,Saison / Farmhouse Ale,pours a medium golden hue complete with very small champagne like bubbles and a tight foamy head,4.0,4.5,4.5,4.5,1,0.0,0,0
49degrees,141,Hennepin (Farmhouse Saison),,Saison / Farmhouse Ale,reminscent of the strong belgian beers likes chimay white or fellow north american brew the unibroue eau benite,4.0,4.5,4.5,4.5,0,0.0,0,0
49degrees,141,Hennepin (Farmhouse Saison),,Saison / Farmhouse Ale,incredbly smooth tasting considering its crisp hoppy characteristics all of which make this a great choice for those lazy afternoons,4.0,4.5,4.5,4.5,0,0.0,0,1
49degrees,3635,La Terrible,,Belgian Strong Dark Ale,a stunning beer in the same tradition of chimays grand reserve blue cap it offers everything that the belgian classic has with just a darker tone and a more affordable price,4.5,4.5,4.5,5.0,0,0.0,0,0
49degrees,3635,La Terrible,,Belgian Strong Dark Ale,bcldb currently stocks this at 7 95cdn per 750ml bottle and this one is honestly worth every penny,4.5,4.5,4.5,5.0,0,0.0,0,0
49degrees,3635,La Terrible,,Belgian Strong Dark Ale,having tasted my fair share of belgian styled brews over the past several years chimays grand reserve was and will still remain my current all time favorite but unibroues latest terrible an abbey style dark brown ale pegged at 10,4.5,4.5,4.5,5.0,0,0.0,0,0
49degrees,3635,La Terrible,,Belgian Strong Dark Ale,5 abv is an extremely strong contender that deserves a close look by fellow belgian styled enthusiasts,4.5,4.5,4.5,5.0,0,0.0,0,0
49degrees,3635,La Terrible,,Belgian Strong Dark Ale,new to market or at least to my eyes terrible is the easy front runner on the unibroue product schedule suprassing fellow label mates don de dieu and la maudite,4.5,4.5,4.5,5.0,0,0.0,0,0
49degrees,3635,La Terrible,,Belgian Strong Dark Ale,terrible is another exceptional offering from unibroue that is very drinkable and a great brew to relax with,4.5,4.5,4.5,5.0,0,0.0,0,0
